episode,reward,length,xp,kill,death,quest_accepted,quest_completed,quest_proximity,quest_progress,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26
0,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,33,27,30,30,24,29,24,39,28,58,30,28,32,50,44,31,47,48,59,32,31,30,44,48,60,35
1,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,18,17,25,15,21,20,20,63,23,37,35,30,26,126,62,53,66,47,47,30,27,36,26,36,41,37
2,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,20,32,18,8,10,10,22,69,29,17,18,18,17,83,132,116,29,44,70,21,16,40,13,43,50,44
3,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,56,84,13,5,7,8,45,81,9,47,20,12,15,121,37,72,23,116,36,7,26,19,12,31,50,43
4,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,171,11,4,22,4,54,47,13,49,58,6,14,77,50,31,29,76,23,7,2,9,8,70,100,33
5,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,42,205,65,0,125,7,29,40,18,70,25,4,6,14,18,17,21,26,9,2,8,6,11,68,156,6
6,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,31,220,55,6,205,4,30,51,14,73,21,12,8,11,13,22,6,17,13,3,15,7,30,45,64,9
7,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,30,86,31,48,155,3,28,55,22,169,10,8,7,6,13,11,10,22,17,15,42,6,42,34,98,11
8,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,36,131,26,46,117,11,10,44,24,181,31,9,9,15,20,19,21,24,8,15,34,9,28,58,33,7
9,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,40,160,20,8,54,1,6,22,15,352,7,3,12,16,12,12,17,20,4,18,25,4,71,29,26,4
10,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,209,4,6,24,4,7,21,7,451,8,2,4,17,22,4,20,43,1,13,8,1,54,25,13,5
11,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,13,223,1,4,68,3,3,8,6,383,8,1,3,4,21,2,16,53,3,14,12,3,72,41,13,7
12,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,18,197,9,21,76,6,9,22,12,141,24,8,11,9,18,13,20,92,7,18,18,6,117,80,16,5
13,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,20,218,7,72,67,5,9,41,11,71,19,6,8,5,49,6,7,51,7,27,41,6,133,62,33,3
14,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,233,3,47,108,5,6,26,3,42,21,7,9,3,28,4,10,14,3,8,109,12,229,18,33,3
15,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,156,7,19,193,12,4,11,22,33,13,8,13,12,37,5,7,12,2,5,162,7,191,25,32,1
16,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,12,24,6,50,209,19,24,24,65,114,5,11,10,11,16,5,8,18,10,9,44,7,189,53,46,3
17,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16,33,10,46,92,19,16,27,75,77,15,27,31,14,9,7,4,36,21,18,28,8,290,43,29,7
18,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16,36,11,11,94,34,5,27,101,71,38,26,30,30,30,6,4,13,42,5,15,30,224,45,48,5
19,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17,56,10,9,146,26,14,29,161,79,37,44,37,22,57,3,3,27,11,2,20,14,67,34,72,3
20,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,82,2,2,86,34,14,25,55,55,25,68,34,13,144,4,8,37,18,2,16,9,168,32,46,7
21,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13,114,2,5,13,10,9,56,45,40,39,111,77,17,111,10,8,50,21,2,7,9,177,29,14,8
22,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,25,4,2,6,40,7,111,35,10,19,128,323,15,43,4,6,17,7,1,10,12,147,6,11,6
23,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10,12,4,19,36,4,55,48,6,9,141,247,9,59,3,8,14,6,4,10,56,154,9,60,13
24,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,26,11,3,50,32,2,26,117,4,13,135,207,36,72,1,5,10,7,3,3,30,87,14,90,11
25,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,28,10,0,59,38,9,23,112,10,10,52,167,86,114,3,9,8,2,3,4,23,31,17,161,16
26,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,32,6,4,117,58,7,31,62,9,10,40,66,59,131,4,11,27,1,5,9,16,67,16,190,19
27,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,46,7,2,58,120,5,7,84,33,11,14,39,14,198,6,4,44,3,4,26,9,162,7,74,20
28,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,43,0,33,19,186,5,5,68,41,21,6,66,9,148,27,5,43,6,8,37,14,115,6,77,8
29,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,25,2,121,12,128,5,8,11,57,50,8,65,10,136,81,3,47,2,6,25,5,97,3,78,13
30,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,29,3,266,23,76,2,7,25,45,20,14,52,1,87,81,4,46,0,11,10,6,130,9,47,1
31,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,51,3,140,30,26,7,6,45,66,11,8,22,8,120,44,6,31,3,8,26,2,239,5,90,1
