episode,reward,length,xp,kill,death,quest_accepted,quest_completed,quest_proximity,quest_progress,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26
32,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,53,0,56,34,4,5,9,33,80,9,3,8,18,70,23,10,63,4,20,48,5,350,17,74,2
33,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,15,59,3,22,24,7,12,13,69,43,48,8,11,11,48,3,34,39,4,110,79,5,209,14,99,2
34,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,39,4,27,19,4,3,12,21,22,119,1,4,6,46,1,71,12,1,82,40,17,194,3,233,6
35,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,30,7,43,33,8,4,7,18,42,126,1,2,7,15,4,120,5,4,52,36,14,89,8,310,3
36,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14,26,6,20,30,12,2,23,9,67,128,1,0,14,31,4,58,5,7,29,39,14,60,6,387,4
37,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,23,13,58,15,14,8,22,2,196,86,1,3,4,11,8,55,9,0,17,21,3,24,11,385,1
38,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,120,17,77,8,9,7,33,5,94,86,3,5,12,49,7,91,32,10,16,13,0,7,20,263,2
39,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,90,19,128,9,10,4,39,10,101,67,2,1,17,49,14,145,28,9,17,5,1,9,8,207,4
40,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11,292,24,91,9,4,4,37,5,71,47,8,1,52,14,6,86,101,8,37,5,0,10,10,62,3
41,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,347,11,29,14,14,4,34,5,47,30,3,1,96,37,6,52,49,9,70,1,1,16,68,45,2
42,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,472,10,8,4,8,0,32,0,32,17,5,0,136,15,2,77,21,7,39,0,2,10,66,20,3
43,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,804,4,0,3,3,0,4,1,28,7,1,1,57,2,1,14,13,15,6,1,1,1,21,9,0
44,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,923,0,1,0,0,0,2,1,21,1,1,0,2,0,0,7,12,3,1,0,0,2,10,10,0
45,-1.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,928,1,2,0,0,0,1,0,39,3,1,0,4,1,1,5,5,0,4,0,0,0,2,2,0
